,,,上客,,,,,下客
3616,106504624,29383695,2171.152125,,108-1,经度,维度,18893.39674
3617,106506045,29383723,2256.257388,,52078,106565922,29531814,1390.314607
3618,106508585,29383802,2357.989669,,52079,106557970,29526645,1026.072626
3619,106511371,29383080,2443.515985,,52080,106556894,29526063,1481.905879
3620,106514513,29382542,2582.784276,,52081,106545946,29553543,1500.757498
3621,106516270,29384324,1800.005133,,52082,106540972,29559385,1384.125923
3622,106518357,29384396,1762.952502,,52083,106539923,29564479,1865.743638
3623,106521102,29383033,1635.215659,,52084,106533563,29569377,1789.129606
3624,106525027,29382490,1367.689344,,52085,106536728,29576454,1677.561213
3625,106526334,29384143,1315.794607,,52086,106540613,29575627,1536.11621
3626,106527096,29382952,1314.794607,,52087,106549214,29578517,447.822576
3628,106529481,29379045,927.473684,,52088,106557920,29529051,1157.033131
3629,106531796,29378938,725.684211,,52089,106531526,29573063,1894.045837
3774,106443440,29525746,644.049297,,52090,106553790,29581253,1159.677129
3775,106446260,29527247,1153.050519,,52091,106552142,29585843,583.090867
3776,106449124,29531139,1487.052907,,108-2,经度,维度,17093.22697
3777,106451252,29534175,1392.270459,,29997,106564191,29526188,1043.498541
3778,106452992,29539123,1374.936601,,29998,106556894,29526063,1489.562311
3779,106455158,29540148,1195.90319,,29999,106548190,29553603,1369.754459
3780,106453936,29545262,1705.276248,,30000,106540687,29559709,1676.012241
3781,106453086,29549732,1474.397404,,30001,106532767,29571389,1924.011424
3782,106455642,29552322,1454.615507,,30002,106526248,29574190,1685.292638
3783,106461166,29554187,1251.894291,,30003,106532419,29578858,1357.034521
3784,106461568,29558665,1352.183685,,30004,106540853,29575756,1543.846821
3785,106464318,29561547,851.247412,,30005,106549135,29578449,1522.090426
3786,106463336,29564040,881.608796,,30006,106554135,29582361,1136.860761
3787,106460838,29564377,857.738011,,30007,106556397,29584677,762.154804
3788,106456381,29565593,1101.242493,,45940,106536674,29576477,1583.108024
